program,year,period,week_ending,geo_level,state,state_ansi,watershed_code,commodity,data_item,domain,domain_category,value,cv_(%)
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,AG LAND,"AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)",106050030.0,33.6
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,AG LAND,"AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)",168726456.0,44.7
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,AG LAND,"AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",18222600.0,96.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,AG LAND,"AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",5521000.0,68.5
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,AG LAND,"AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,298520086.0,23.8
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,BAREROOT HERBACEOUS PERENNIALS,"BAREROOT HERBACEOUS PERENNIALS - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,BAREROOT HERBACEOUS PERENNIALS,BAREROOT HERBACEOUS PERENNIALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,10.0,87.5
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CACTI & SUCCULENTS,"CACTI & SUCCULENTS - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CACTI & SUCCULENTS,CACTI & SUCCULENTS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,1.0,94.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,259298.0,47.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,CUT CHRISTMAS TREES - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,41.0,26.1
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, FIR, BALSAM - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,12000.0,
