"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)","106,050,030","33.6"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","168,726,456","44.7"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)","18,222,600","96.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)","5,521,000","68.5"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $","TOTAL","NOT SPECIFIED","298,520,086","23.8"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","BAREROOT HERBACEOUS PERENNIALS","BAREROOT HERBACEOUS PERENNIALS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","10","87.5"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CACTI & SUCCULENTS","CACTI & SUCCULENTS - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CACTI & SUCCULENTS","CACTI & SUCCULENTS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","94.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","259,298","47.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","41","26.1"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, FIR, BALSAM - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","12,000","(H)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, FIR, BALSAM - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","6","(H)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, FIR, CANAAN - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","83,030","54.0"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, FIR, CANAAN - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","27","28.1"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, FIR, CONCOLOR - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","12,620","50.6"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, FIR, CONCOLOR - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","14","47.4"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, FIR, DOUGLAS - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","9,700","(H)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, FIR, DOUGLAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","4","(H)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, FIR, FRASER - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","92,800","(H)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, FIR, FRASER - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","12","75.0"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, OTHER CLASSES - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","10,938","90.2"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, OTHER CLASSES - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","9","62.4"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, PINE, SCOTCH - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","14,400","53.0"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, PINE, SCOTCH - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","20","32.2"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, PINE, WHITE - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","19,350","30.7"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, PINE, WHITE - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","23","29.2"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, SPRUCE, COLORADO BLUE - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","3,200","(H)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, SPRUCE, COLORADO BLUE - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","4","(H)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, SPRUCE, NORWAY - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, SPRUCE, NORWAY - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, SPRUCE, WHITE - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, SPRUCE, WHITE - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","4","75.0"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN 1 YEAR - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","39,830","33.8"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN 1 YEAR - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","41","26.1"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN 2 YEARS - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","27,555","42.5"
