station,station_name,day,doy,gdd_40_86,high,highc,low,lowc,precip,snow,snowd
IA1533,CLARINDA,2024-01-01,1,0.0,29.0,-1.7,21.0,-6.1,0.0,0.0,0.0
IA0807,Boone,2024-01-01,1,0.0,29.0,-1.7,20.0,-6.7,0.0001,0.0001,0.0
IA2689,Emmetsburg,2024-01-01,1,0.0,29.0,-1.7,20.0,-6.7,0.0,0.0,0.0
IA6199,OELWEIN 1E,2024-01-01,1,0.0,31.0,-0.6,21.0,-6.1,0.0001,0.0001,0.0001
IAC003,Iowa - Northeast Climate Division,2024-01-01,1,0.0,32.0,0.0,23.0,-5.0,0.0,0.0,0.0
IA2110,DECORAH-2-N,2024-01-01,1,0.0,32.0,0.0,23.0,-5.0,0.0,0.0,0.0
IA4106,IOWA CITY MUNICIPAL AP,2024-01-01,1,0.0,31.0,-0.6,21.0,-6.1,0.0,0.0,0.0
IAC006,Iowa - East Central Climate Division,2024-01-01,1,0.0,33.0,0.6,26.0,-3.3,0.0,0.1,0.1
IAD004,Iowa Drought Region 4 - Southwest,2024-01-01,1,0.0,29.0,-1.7,20.0,-6.7,0.0,0.0,0.1
IA1442,CHEROKEE,2024-01-01,1,0.0,25.0,-3.9,20.0,-6.7,0.0,0.0,0.0
IA2364,DUBUQUE-LOCK-AND-DAM,2024-01-01,1,0.0,34.0,1.1,29.0,-1.7,0.0,0.0,0.0
IA6327,OSKALOOSA,2024-01-01,1,0.0,32.0,0.0,24.0,-4.4,0.0,0.0,0.0
IA0608,BELLEVUE-L-AND-D-12,2024-01-01,1,0.0,34.0,1.1,29.0,-1.7,0.0,0.0,0.0
IA4587,LAMONI,2024-01-01,1,0.0,36.0,2.2,23.0,-5.0,0.0,0.0,0.0
IA4228,JEFFERSON,2024-01-01,1,0.0,27.0,-2.8,22.0,-5.6,0.0,0.0,0.0
IA0364,ATLANTIC-1-NE,2024-01-01,1,0.0,29.0,-1.7,22.0,-5.6,0.0,0.0,0.0
IAC004,Iowa - West Central Climate Division,2024-01-01,1,0.0,27.0,-2.8,18.0,-7.8,0.0,0.0,0.2
IATDSM,Des Moines Area,2024-01-01,1,0.0,34.0,1.1,23.0,-5.0,0.0,0.0,0.0
IA5493,Milford,2024-01-01,1,0.0,33.0,0.6,20.0,-6.7,0.0,0.0,0.0
IA3007,Fort Madison,2024-01-01,1,0.0,30.0,-1.1,25.0,-3.9,0.0,0.0,0.0
IA6305,OSAGE,2024-01-01,1,0.0,29.0,-1.7,21.0,-6.1,0.0,0.0,0.0
IATAME,Ames Area,2024-01-01,1,0.0,29.0,-1.7,22.0,-5.6,0.0,0.0,0.0
IA4735,Le Mars,2024-01-01,1,0.0,26.0,-3.3,12.0,-11.1,0.0,0.0,0.0
IA5837,MUSCATINE,2024-01-01,1,0.0,35.0,1.7,28.0,-2.2,0.0,0.0,0.0
IAC005,Iowa - Central Climate Division,2024-01-01,1,0.0,31.0,-0.6,22.0,-5.6,0.0,0.0,0.0
IA7147,ROCK-RAPIDS,2024-01-01,1,0.0,27.0,-2.8,18.0,-7.8,0.0,0.0,0.0
IAC009,Iowa - Southeast Climate Division,2024-01-01,1,0.0,34.0,1.1,27.0,-2.8,0.0,0.0,0.0
