station,station_name,day,doy,gdd_40_86,high,highc,low,lowc,precip,snow,snowd
IA1533,CLARINDA,2024-01-01,1,0,29,-1.7,21,-6.1,0,0,0
IA0807,Boone,2024-01-01,1,0,29,-1.7,20,-6.7,0.0001,0.0001,0
IA2689,Emmetsburg,2024-01-01,1,0,29,-1.7,20,-6.7,0,,
IA6199,OELWEIN 1E,2024-01-01,1,0,31,-0.6,21,-6.1,0.0001,0.0001,0.0001
IAC003,Iowa - Northeast Climate Division,2024-01-01,1,0,32,0,23,-5,0,0,0
IA2110,DECORAH-2-N,2024-01-01,1,0,32,0,23,-5,0,0,0
IA4106,IOWA CITY MUNICIPAL AP,2024-01-01,1,0,31,-0.6,21,-6.1,0,,
IAC006,Iowa - East Central Climate Division,2024-01-01,1,0,33,0.6,26,-3.3,0,0.1,0.1
IAD004,Iowa Drought Region 4 - Southwest,2024-01-01,1,0,29,-1.7,20,-6.7,0,0,0.1
IA1442,CHEROKEE,2024-01-01,1,0,25,-3.9,20,-6.7,0,0,0
IA2364,DUBUQUE-LOCK-AND-DAM,2024-01-01,1,0,34,1.1,29,-1.7,0,0,0
IA6327,OSKALOOSA,2024-01-01,1,0,32,0,24,-4.4,0,,
IA0608,BELLEVUE-L-AND-D-12,2024-01-01,1,0,34,1.1,29,-1.7,0,0,0
IA4587,LAMONI,2024-01-01,1,0,36,2.2,23,-5,0,0,
IA4228,JEFFERSON,2024-01-01,1,0,27,-2.8,22,-5.6,0,0,
IA0364,ATLANTIC-1-NE,2024-01-01,1,0,29,-1.7,22,-5.6,0,0,0
IAC004,Iowa - West Central Climate Division,2024-01-01,1,0,27,-2.8,18,-7.8,0,0,0.2
IATDSM,Des Moines Area,2024-01-01,1,0,34,1.1,23,-5,0,0,0
IA5493,Milford,2024-01-01,1,0,33,0.6,20,-6.7,0,0,0
IA3007,Fort Madison,2024-01-01,1,0,30,-1.1,25,-3.9,0,0,0
IA6305,OSAGE,2024-01-01,1,0,29,-1.7,21,-6.1,0,0,
IATAME,Ames Area,2024-01-01,1,0,29,-1.7,22,-5.6,0,0,0
IA4735,Le Mars,2024-01-01,1,0,26,-3.3,12,-11.1,0,0,0
IA5837,MUSCATINE,2024-01-01,1,0,35,1.7,28,-2.2,0,0,0
IAC005,Iowa - Central Climate Division,2024-01-01,1,0,31,-0.6,22,-5.6,0,0,0
IA7147,ROCK-RAPIDS,2024-01-01,1,0,27,-2.8,18,-7.8,0,0,0
IAC009,Iowa - Southeast Climate Division,2024-01-01,1,0,34,1.1,27,-2.8,0,0,0
IA0157,ALLISON,2024-01-01,1,0,31,-0.6,21,-6.1,0.0001,0.0001,0
IA7700,SIOUX CENTER 2 SE,2024-01-01,1,0,27,-2.8,17,-8.3,0,0,0
IATSUX,Sioux City Area,2024-01-01,1,0,33,0.6,9,-12.8,0,0,1
IA0149,Allerton,2024-01-01,1,0,30,-1.1,22,-5.6,0,0,0
IA4142,IOWA-FALLS,2024-01-01,1,0,30,-1.1,20,-6.7,0.0001,0.0001,0
IA2209,DES MOINES WSFO-JOHNSTON,2024-01-01,1,0,34,1.1,22,-5.6,0,0,0
IA8706,WATERLOO,2024-01-01,1,0,27,-2.8,22,-5.6,0,0,0
IATCID,Cedar Rapids Area,2024-01-01,1,0,29,-1.7,19,-7.2,0,,
IA5086,MANCHESTER-2,2024-01-01,1,0,32,0,24,-4.4,0.0001,0.0001,0
IA0200,AMES-8-WSW,2024-01-01,1,0,33,0.6,21,-6.1,0,0,0
IA1402,CHARLES-CITY,2024-01-01,1,0,24,-4.4,19,-7.2,0.0001,0.0001,0.0001
IA5123,MAPLETON NO. 2,2024-01-01,1,0,26,-3.3,7,-13.9,0,0,0
IA7708,SIOUX-CITY-WSO-AP,2024-01-01,1,0,33,0.6,9,-12.8,0,0,1
IA3517,GUTTENBERG-L-AND-D-10,2024-01-01,1,0,33,0.6,25,-3.9,0,0,0
IA2171,DENISON,2024-01-01,1,0,27,-2.8,22,-5.6,0,0,0
IA2864,FAYETTE,2024-01-01,1,0,30,-1.1,21,-6.1,0,0,0
IA6316,OSCEOLA-3-WSW,2024-01-01,1,0,31,-0.6,23,-5,0,0,0
IA1063,Burlington Airport,2024-01-01,1,0,31,-0.6,23,-5,0,,
IA2603,Elkader 6SSW (Osborn),2024-01-01,1,0,33,0.6,24,-4.4,0.0001,0.0001,0
IA2977,FOREST-CITY,2024-01-01,1,0,28,-2.2,19,-7.2,0,0,
