MonitoringLocationIdentifier,LatitudeMeasure,LongitudeMeasure,climate_station,climate_station_name,distance_to_climate_station_km
USGS-05474000,40.75365,-91.2770889,IA1060,BURLINGTON,14.179409486390956
USGS-05451210,42.31530556,-93.1521944,IA4142,IOWA-FALLS,27.23069582604307
USGS-05490500,40.72780556,-91.9596139,IA4389,KEOSAUQUA,1.444669204876222
USGS-05465500,41.1780861,-91.1820917,IA1731,COLUMBUS JUNCT 2 SSW,22.372335850642045
USGS-05420500,41.78058635,-90.252073,IA1635,CLINTON-1,2.9382975545389773
21IOWA_WQX-14000607,41.6036,-95.211,IA0364,ATLANTIC-1-NE,31.100797588121175
PCCB_WQX-977311,41.7465,-93.3816,IA0000,Iowa Average,14.638426727371122
21IOWA_WQX-10630003,41.246687,-93.290114,IA1394,CHARITON,27.630909852099553
21IOWA_WQX-10300001,43.318912,-95.181331,IA5493,Milford,2.278245673167016
PCCB_WQX-977108,41.55108,-93.44607,IA2203,Des Moines Airport,22.79680716046969
21IOWA_WQX-22200002,41.040011,-93.805285,IA6316,OSCEOLA-3-WSW,6.539897773966508
PCCB_WQX-977029,41.5678,-93.7509,IATDSM,Des Moines Area,11.506004845393203
PCCB_WQX-977309,41.7366,-93.5706,IA2209,DES MOINES WSFO-JOHNSTON,17.012823776618408
PCCB_WQX-977112,41.60967,-93.75572,IATDSM,Des Moines Area,14.177598776826315
21IOWA_WQX-10030001,43.421498,-91.508917,IA8755,WAUKON,17.149933827484315
21IOWA_WQX-14000359,41.44989,-93.68421,IA2203,Des Moines Airport,9.686052262076494
21IOWA_WQX-14000596,43.286651,-92.469365,IA5952,NEW-HAMPTON,31.117418749086553
PCCB_WQX-977335,41.5753775,-93.6840274,IATDSM,Des Moines Area,5.744164145629348
PCCB_WQX-977333,41.5805449,-93.681976,IATDSM,Des Moines Area,6.090651830005791
PCCB_WQX-977326,41.557909,-93.564256,IA2203,Des Moines Airport,10.026641939882625
21IOWA_WQX-22590002,41.000679,-93.271936,IA1394,CHARITON,5.345006231360538
PCCB_WQX-977102,41.59886,-93.71889,IATDSM,Des Moines Area,10.272836862773481
21IOWA_WQX-10770001,41.688253,-93.7355,IA2209,DES MOINES WSFO-JOHNSTON,5.536393509395286
21IOWA_WQX-10970001,42.26717,-95.89392,IA5123,MAPLETON NO. 2,16.616483092402003
MESKWAKI_DNR-Site 5,41.9671,-92.6386,IA8296,TOLEDO,6.672038440887794
21IOWA_WQX-10840001,43.083908,-96.445121,IA7700,SIOUX CENTER 2 SE,33.03184817395408
21IOWA_WQX-10730001,40.659337,-95.028273,IA1533,CLARINDA,6.748150760578847
21IOWA_WQX-22400004,42.432658,-93.79795,IA8806,WEBSTER-CITY,4.158493228699761
21IOWA_WQX-22470001,42.275811,-95.606917,IA0512,BATTLE CREEK 3NE,11.058313154297476
21IOWA_WQX-21930001,40.716664,-93.398371,IA0149,Allerton,4.161488717084697
PCCB_WQX-977303,41.673,-93.4552,IA0000,Iowa Average,24.370731871356423
21IOWA_WQX-12400007,42.535874,-93.787919,IA8806,WEBSTER-CITY,7.44701773257917
21IOWA_WQX-21130002,42.4799,-94.63332,IA7161,ROCKWELL-CITY,9.007085847679143
21IOWA_WQX-23950007,43.260296,-93.553705,IA2977,FOREST-CITY,8.761972993133497
21IOWA_WQX-22960004,43.175194,-91.91351,IA2110,DECORAH-2-N,21.90108150866561
21IOWA_WQX-22870002,40.837446,-94.541751,IA1962,Creston,27.614193421648906
21IOWA_WQX-10440001,40.925394,-91.673702,IA5796,MOUNT-PLEASANT,14.024514966611948
PCCB_WQX-977305,41.537,-93.6159,IA2203,Des Moines Airport,3.870813425508985
21IOWA_WQX-22070001,42.534295,-92.395797,IA8706,WATERLOO,1.807771791553489
21IOWA_WQX-10070004,42.469475,-92.413605,IA8706,WATERLOO,9.080869451785015
PCCB_WQX-977313,41.7878,-93.791,IA2209,DES MOINES WSFO-JOHNSTON,9.411716207123687
21IOWA_WQX-10750001,42.57637,-96.31233,IA7708,SIOUX-CITY-WSO-AP,21.005426768444163
PCCB_WQX-977310,41.7896,-93.418,IA0000,Iowa Average,19.192695297914216
21IOWA_WQX-14000415,41.812506,-93.740038,IA2209,DES MOINES WSFO-JOHNSTON,8.636008708945443
21IOWA_WQX-23000028,43.313889,-92.674469,IA6305,OSAGE,14.458118479933391
21IOWA_WQX-10400001,42.34116,-93.89245,IA8806,WEBSTER-CITY,17.63298704243423
21IOWA_WQX-22070003,42.461765,-92.289557,IA8706,WATERLOO,15.718680754360435
21IOWA_WQX-10490004,42.070737,-90.695404,IA5131,MAQUOKETA-2-W,0.5175808514635537
PCCB_WQX-977118,41.57409,-93.64819,IATDSM,Des Moines Area,4.4911136699928935
21IOWA_WQX-10500001,41.746157,-93.226094,IA0000,Iowa Average,2.692353840457459
21IOWA_WQX-22620002,41.29513,-92.538181,IAD005,Iowa Drought Region 5 - Southeast,10.836405639219844
21IOWA_WQX-10630002,41.21907,-92.907905,IA6327,OSKALOOSA,30.795545632082145
21IOWA_WQX-10420002,42.31507,-93.15242,IA4142,IOWA-FALLS,27.24161357968138
21IOWA_WQX-22010003,41.387098,-94.437542,IA3438,GREENFIELD,10.335497173303175
21IOWA_WQX-21910001,41.290152,-93.590971,IA2203,Des Moines Airport,27.465706439214387
21IOWA_WQX-21810001,42.301646,-95.035587,IA7312,SAC-CITY,14.81072340181251
21IOWA_WQX-10180001,42.864743,-95.463593,IA1442,CHEROKEE,14.741547910687775
PCCB_WQX-977104,41.74637,-93.64892,IA2209,DES MOINES WSFO-JOHNSTON,8.374798023227902
21IOWA_WQX-14000562,41.661087,-93.706817,IA2209,DES MOINES WSFO-JOHNSTON,8.601545528726888
21IOWA_WQX-22610004,41.469892,-93.910865,IA9132,WINTERSET,18.444560439139526
21IOWA_WQX-22680001,41.121522,-92.843984,IAD005,Iowa Drought Region 5 - Southeast,28.377512912785992
21IOWA_WQX-14000561,41.642224,-93.382981,IA0000,Iowa Average,19.033379690252023
21IOWA_WQX-14000558,40.750549,-93.33221,IA0149,Allerton,6.261367165796423
