target,target_column,model,rows_before_filter,rows_used,train_rows,test_rows,cv_r2_mean,cv_r2_std,r2,rmse,mae,error_rate_pct,best_model_for_target
Dissolved Oxygen,Dissolved oxygen (DO)_value,Gradient Boosting,5656,5628,4502,1126,0.46111579213503145,0.02783217827337152,0.5332134616675126,1.927653941503899,1.4125472029618944,18.58206110347383,True
Dissolved Oxygen,Dissolved oxygen (DO)_value,Random Forest,5656,5628,4502,1126,0.44408354987392473,0.013294355297576634,0.5281456543676639,1.9380897680786255,1.3890230526107226,18.31609977616512,False
Dissolved Oxygen,Dissolved oxygen (DO)_value,Linear Regression,5656,5628,4502,1126,0.20276652847380214,0.0122708426100301,0.22180230776515497,2.488942585363663,1.8640364764665431,23.199690662687615,False
Nitrate,Nitrate_value,Gradient Boosting,2535,2529,2023,506,0.48002354172861506,0.03090019416548469,0.48157835502969815,4.1710624095499345,1.8032255537414728,109.36542686574573,True
Nitrate,Nitrate_value,Random Forest,2535,2529,2023,506,0.4057063069590667,0.03513159213151181,0.3770764120227519,4.572171512113322,1.9334365815650292,108.50706997677848,False
Nitrate,Nitrate_value,Linear Regression,2535,2529,2023,506,0.10700091470754754,0.02946507849144774,0.12739212940761935,5.411462933871142,2.5945122864018453,115.58288711134361,False
Water Temperature,"Temperature, water_value",Gradient Boosting,5676,5676,4540,1136,0.9043950557210572,0.009838567267413051,0.9228921684056223,2.2075425485698563,1.5902210992319032,19.794752920345466,True
Water Temperature,"Temperature, water_value",Random Forest,5676,5676,4540,1136,0.8914140797451464,0.005941934772396353,0.9069528750269062,2.4249976227575543,1.7465798331960498,20.40131761405712,False
Water Temperature,"Temperature, water_value",Linear Regression,5676,5676,4540,1136,0.8458306972325313,0.006833037030787216,0.8610120156528466,2.9637970828983957,2.3451078088783186,26.774189353361844,False
pH,pH_value,Gradient Boosting,5761,5758,4606,1152,0.3431875389182863,0.04833449709413374,0.42664582818042684,0.5485044265598016,0.37167485483164736,4.877546998823808,True
pH,pH_value,Random Forest,5761,5758,4606,1152,0.33982192525186383,0.05134966856327127,0.3833246441950854,0.5688489291745991,0.38155623234717656,4.978721633639829,False
pH,pH_value,Linear Regression,5761,5758,4606,1152,0.13724068051654204,0.016005105929705526,0.13485362956543723,0.6737727515189167,0.4914320288195824,6.378901408901566,False
