OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-IA,USGS Iowa Water Science Center,USGS-05420500,"Mississippi River at Clinton, IA",Stream,,07080101,85600,sq mi,,,41.78058635000000,-90.2520730000000,24000,5,seconds,Interpolated from MAP.,NAD83,562.54,feet,.14,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,19,045,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-05451210,"South Fork Iowa River NE of New Providence, IA",Stream,,07080207,224,sq mi,,,42.31530556000000,-93.1521944000000,24000,5,seconds,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAD83,944.03,feet,.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,19,083,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-05465500,"Iowa River at Wapello, IA",Stream,,07080209,12500,sq mi,,,41.17808610000000,-91.1820917000000,24000,5,seconds,Interpolated from Digital MAP.,NAD83,538.08,feet,.16,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,19,115,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-05474000,"Skunk River at Augusta, IA",Stream,,07080107,4312,sq mi,,,40.75365000000000,-91.2770889000000,24000,5,seconds,Interpolated from Digital MAP.,NAD83,521.08,feet,.11,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,19,057,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-05490500,"Des Moines River at Keosauqua, IA",Stream,,07100009,14038,sq mi,,,40.72780556000000,-91.9596139000000,24000,5,seconds,Interpolated from Digital MAP.,NAD83,543.55,feet,.28,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,19,177,,,,,,,,,,NWIS
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,River/Stream,Highway 76 bridge 3 miles S of Dorchester,07060002,,,,,43.4214980000,-91.5089170000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,005,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10030002,Yellow River at Ion,River/Stream,Ion Road / County Road X36 bridge 6 miles SE of Volney at Ion,07060001,,,,,43.1117790000,-91.2649210000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,005,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10040002,Chariton River near Rathbun,River/Stream,461st Street bridge 1.25 miles S of Rathbun Reservoir dam,10280201,,,,,40.8107200000,-92.8828500000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,007,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10070001,Beaver Creek near Cedar Falls,River/Stream,North Union Road / County Road T75 bridge 3.5 miles NW of Cedar Falls,07080205,,,,,42.5735200000,-92.5067100000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,013,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10070002,Wolf Creek at La Porte City,River/Stream,Main Street bridge in La Porte City,07080205,,,,,42.3157480000,-92.1937980000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,013,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10070003,West Fork Cedar River at Finchford,River/Stream,Finchford Road / County Road T71 bridge in Finchford,07080204,,,,,42.6289730000,-92.5436660000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,013,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10070004,Black Hawk Creek at Waterloo,River/Stream,West Ridgeway Avenue bridge SW of Waterloo,07080205,,,,,42.4694750000,-92.4136050000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,013,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10090001,Cedar River at Janesville,River/Stream,EKCO pedestrian / West Barrick Road / County Road C50 bridge in Janesville,07080201,,,,,42.6495860000,-92.4665500000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,017,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10100001,Wapsipinicon River near Otterville,River/Stream,Otterville Boulevard / 190th Street bridge 1.5 miles W of Otterville,07080102,,,,,42.5121570000,-91.9740350000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,019,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10120001,Shell Rock River at Shell Rock,River/Stream,North Cherry Street / County Road C45 bridge below the dam in Shell Rock,07080202,,,,,42.7115430000,-92.5814290000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,023,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10180001,Little Sioux River near Larrabee,River/Stream,450th Street / County Road C16 bridge 5.2 miles E of Larrabee,10230003,,,,,42.8647430000,-95.4635930000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,035,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10220001,Turkey River at Garber,River/Stream,Jupiter Road / County Road X41 bridge S of Garber,07060004,,,,,42.7395470000,-91.2619760000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,043,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10220002,Volga River near Elkport,River/Stream,Grandview Road / County Road X3C bridge 0.75 miles N of Elkport,07060004,,,,,42.7497290000,-91.2767800000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,043,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10220003,Bloody Run Creek near Marquette,River/Stream,"Railroad bridge off of 128th Street in Bloody Run Wildlife Area, 1.5 miles W of Marquette",07060001,,,,,43.0415050000,-91.2080830000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,043,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10250001,South Raccoon River near Redfield,River/Stream,G Trail bridge 0.75 miles SE of Redfield,07100007,,,,,41.5797400000,-94.1829170000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,049,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10270001,Thompson Fork - Grand River at Davis City,River/Stream,Highway 69 bridge at Davis City,10280102,,,,,40.6406710000,-93.8078700000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,053,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10300001,Little Sioux River near Milford,River/Stream,225th Street bridge 1.2 miles W of Milford,10230003,,,,,43.3189120000,-95.1813310000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,059,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10340001,Cedar River at Midway,River/Stream,"240th Street / County Road B59 bridge 0.5 miles N of Midway, 1.5 miles W of Carrville",07080201,,,,,43.0089490000,-92.6024160000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,067,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10360001,East Nishnabotna River near Shenandoah,River/Stream,Highway 59 bridge 0.75 miles N of Shenandoah,10240003,,,,,40.7856730000,-95.3848910000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,071,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10360003,Nishnabotna River at Hamburg,River/Stream,Highway 275 bridge at Hamburg,10240004,,,,,40.6017440000,-95.6456210000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,071,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10400001,Boone River near Stratford,River/Stream,"Bells Mills Road / County Road R27 bridge in Bell's Mill County Park, 6.5 miles NE of Stratford",07100005,,,,,42.3411600000,-93.8924500000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,079,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10420001,Iowa River near Gifford,River/Stream,270th Street / County Road D53 bridge 1.8 miles NE of Gifford,07080207,,,,,42.3102130000,-93.0756810000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,083,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10420002,S. Fork Iowa River at R Ave,River/Stream,BioNet SiteID#1195,07080207,,,,,42.3150700000,-93.1524200000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,083,,,,,,,,,,STORET
