OrganizationIdentifier,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode,ProviderName
USGS-IA,USGS-05420500,"Mississippi River at Clinton, IA",Stream,7080101,41.78058635,-90.252073,19,45,NWIS
USGS-IA,USGS-05451210,"South Fork Iowa River NE of New Providence, IA",Stream,7080207,42.31530556,-93.1521944,19,83,NWIS
USGS-IA,USGS-05465500,"Iowa River at Wapello, IA",Stream,7080209,41.1780861,-91.1820917,19,115,NWIS
USGS-IA,USGS-05474000,"Skunk River at Augusta, IA",Stream,7080107,40.75365,-91.2770889,19,57,NWIS
USGS-IA,USGS-05490500,"Des Moines River at Keosauqua, IA",Stream,7100009,40.72780556,-91.9596139,19,177,NWIS
21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET
21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,River/Stream,7060001,43.111779,-91.264921,19,5,STORET
21IOWA_WQX,21IOWA_WQX-10040002,Chariton River near Rathbun,River/Stream,10280201,40.81072,-92.88285,19,7,STORET
21IOWA_WQX,21IOWA_WQX-10070001,Beaver Creek near Cedar Falls,River/Stream,7080205,42.57352,-92.50671,19,13,STORET
21IOWA_WQX,21IOWA_WQX-10070002,Wolf Creek at La Porte City,River/Stream,7080205,42.315748,-92.193798,19,13,STORET
21IOWA_WQX,21IOWA_WQX-10070003,West Fork Cedar River at Finchford,River/Stream,7080204,42.628973,-92.543666,19,13,STORET
21IOWA_WQX,21IOWA_WQX-10070004,Black Hawk Creek at Waterloo,River/Stream,7080205,42.469475,-92.413605,19,13,STORET
21IOWA_WQX,21IOWA_WQX-10090001,Cedar River at Janesville,River/Stream,7080201,42.649586,-92.46655,19,17,STORET
21IOWA_WQX,21IOWA_WQX-10100001,Wapsipinicon River near Otterville,River/Stream,7080102,42.512157,-91.974035,19,19,STORET
21IOWA_WQX,21IOWA_WQX-10120001,Shell Rock River at Shell Rock,River/Stream,7080202,42.711543,-92.581429,19,23,STORET
21IOWA_WQX,21IOWA_WQX-10180001,Little Sioux River near Larrabee,River/Stream,10230003,42.864743,-95.463593,19,35,STORET
21IOWA_WQX,21IOWA_WQX-10220001,Turkey River at Garber,River/Stream,7060004,42.739547,-91.261976,19,43,STORET
21IOWA_WQX,21IOWA_WQX-10220002,Volga River near Elkport,River/Stream,7060004,42.749729,-91.27678,19,43,STORET
21IOWA_WQX,21IOWA_WQX-10220003,Bloody Run Creek near Marquette,River/Stream,7060001,43.041505,-91.208083,19,43,STORET
21IOWA_WQX,21IOWA_WQX-10250001,South Raccoon River near Redfield,River/Stream,7100007,41.57974,-94.182917,19,49,STORET
21IOWA_WQX,21IOWA_WQX-10270001,Thompson Fork - Grand River at Davis City,River/Stream,10280102,40.640671,-93.80787,19,53,STORET
21IOWA_WQX,21IOWA_WQX-10300001,Little Sioux River near Milford,River/Stream,10230003,43.318912,-95.181331,19,59,STORET
21IOWA_WQX,21IOWA_WQX-10340001,Cedar River at Midway,River/Stream,7080201,43.008949,-92.602416,19,67,STORET
21IOWA_WQX,21IOWA_WQX-10360001,East Nishnabotna River near Shenandoah,River/Stream,10240003,40.785673,-95.384891,19,71,STORET
