OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1235981-MW,Field Msr/Obs,Water,Surface Water,2020-09-09,10:00:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,,,,,,STORET-872264484,,,Turbidity,None,14,NTU,,Final,,Actual,,,,,,,,,,,,,,,,,,,,2130-B,APHA,2130 B ~ Nephelometric Method,,https://www.nemi.gov/methods/method_summary/9645/,UHL,2020-09-10,,,,,,,2021-01-13T16:50:32,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-935773-SW,Sample-Routine,Water,Surface Water,2020-03-03,11:15:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-872282527,Not Detected,,"N,N-Diethyl-m-toluamide",Total,,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,SOP UHL-H-020,21IOWA_WQX,Pharmaceuticals,,,UHL,2020-03-09,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-935773-SW/results/872282527/resdetectqntlmts,Method Detection Level,0.10,ug/L,,2021-01-13T16:53:10,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-954139-SW,Sample-Routine,Water,Surface Water,2020-04-07,09:20:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-872286639,,,Escherichia coli,Total,84,MPN/100mL,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9223-B,APHA,9223 B ~ Enzyme substrate assay for measuring total coliforms and E. coli (ONPG-MUG test or CPRG-MUG test),,https://www.nemi.gov/methods/method_summary/5583/,UHL,2020-04-07,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-954139-SW/results/872286639/resdetectqntlmts,Method Detection Level,10,MPN/100mL,,2021-01-13T16:53:39,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-935766-SW,Sample-Routine,Water,Surface Water,2020-03-03,11:15:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-872282436,,,Chloride,Total,23,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,300.0,USEPA,300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4680/,UHL,2020-03-10,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-935766-SW/results/872282436/resdetectqntlmts,Method Detection Level,0.1,mg/L,,2021-01-13T16:53:08,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2020-A20067153004-MW,Field Msr/Obs,Water,Municipal Waste,2020-06-01,14:08:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010002,Lake Orient,,,,,41.1964370000,-94.4361760000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-872303571,,,Total dissolved solids,Total,223,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ISU 2510,21IOWA_WQX,ISU modification of APHA 2510,,,ISU,2020-06-01,,,,,,,2021-01-13T16:56:18,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-935774-SW,Sample-Routine,Water,Surface Water,2020-03-03,10:30:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-872282542,Not Detected,,Sulfadimethoxine,Total,,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,SOP UHL-H-020,21IOWA_WQX,Pharmaceuticals,,,UHL,2020-03-09,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-935774-SW/results/872282542/resdetectqntlmts,Method Detection Level,0.010,ug/L,,2021-01-13T16:53:10,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1324380-SW,Sample-Routine,Water,Surface Water,2020-10-08,09:40:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-872265840,,as N,Kjeldahl nitrogen,Total,0.39,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,LAC 10-107-06-2M,21IOWA_WQX,LAC 10-107-06-2M (UHL),,,UHL,2020-10-16,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1324380-SW/results/872265840/resdetectqntlmts,Method Detection Level,0.1,mg/L,,2021-01-13T16:50:44,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2020-A20087153003-SW,Sample-Routine,Water,Surface Water,2020-06-25,10:44:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010004,Mormon Trail Lake,,,,,41.2428030000,-94.6356850000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-872304159,,as N,Ammonia-nitrogen,Dissolved,0.012,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,350.1,USEPA,350.1 ~ EPA; Ammonia Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/5405/,ISU,2020-06-25,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-LAKE-ISU-2020-A20087153003-SW/results/872304159/resdetectqntlmts,Method Detection Level,0.0024,mg/L,,2021-01-13T16:56:23,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-MET_AMBIENT-SHL-913293-SW,Sample-Routine,Water,Surface Water,2020-01-07,10:20:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-872306519,,,Selenium,Dissolved,1.8,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,UHL,2020-01-09,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-MET_AMBIENT-SHL-913293-SW/results/872306519/resdetectqntlmts,Method Detection Level,0.5,ug/L,,2021-01-13T16:56:48,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-935762-SW,Sample-Routine,Water,Surface Water,2020-03-03,10:30:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-872282283,Not Detected,,Butylate,Total,,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,8270B(W),USEPA,8270 B W  ~ Semivolatile Organics in Water by GC/MS,,,UHL,2020-03-05,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-935762-SW/results/872282283/resdetectqntlmts,Method Detection Level,0.1,ug/L,,2021-01-13T16:53:06,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2020-A20087202003-SW,Sample-Routine,Water,Surface Water,2020-07-20,14:00:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010004,Mormon Trail Lake,,,,,41.2428030000,-94.6356850000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-872304187,Not Detected,,Microcystin,Total,,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ISU 546 OH,21IOWA_WQX,Iowa State University Microcystin,,,ISU,2020-07-20,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-LAKE-ISU-2020-A20087202003-SW/results/872304187/resdetectqntlmts,Method Detection Level,0.3,ug/L,,2021-01-13T16:56:23,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2020-A20067204001-SW,Sample-Routine,Water,Surface Water,2020-07-22,10:01:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010002,Lake Orient,,,,,41.1964370000,-94.4361760000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-872303599,,,Fixed suspended solids,Total,10.5,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,2540-E,APHA,2540 E ~ Fixed and Volatile Solids in Water,,,ISU,2020-07-22,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-LAKE-ISU-2020-A20067204001-SW/results/872303599/resdetectqntlmts,Method Detection Level,1.4,mg/L,,2021-01-13T16:56:19,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2020-A20245267002-SW,Sample-Routine,Water,Surface Water,2020-09-23,10:24:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010005,Nodaway Lake,,,,,41.2893680000,-94.4975660000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-872305557,,as P,Phosphate-phosphorus,Total,0.0403,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,,https://www.nemi.gov/methods/method_summary/4823/,ISU,2020-09-23,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-LAKE-ISU-2020-A20245267002-SW/results/872305557/resdetectqntlmts,Method Detection Level,0.0168,mg/L,,2021-01-13T16:56:34,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1098355-MW,Field Msr/Obs,Water,Surface Water,2020-07-08,10:50:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,,,,,,STORET-872261654,,,Dissolved oxygen (DO),Total,11.3,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,D888(C),ASTM,D888 C  ~ Dissolved Oxygen by Luminescence-based Sensor,,,UHL,2020-07-08,,,,,,,2021-01-13T16:50:07,STORET
